COVERED_EVENT_CODE,FAILURE_DESCRIPTIVE_TEXT,CUSTOMER_CASE_NBR,NAME,CREATED_DATE,Unnamed: 5
CRCKSCRN,Device was dropped in parking lot,112410041,Sprint,06-MAY-17 04.06.46.198000000 PM,
STOLEN,Stolen,1.07E+11,Sprint,09-JUN-17 02.57.37.373000000 AM,
LQDDMG,Device came into contact with humidity and will not charge.,110945294,Sprint,15-MAY-17 10.12.39.550000000 PM,
CRCKSCRN,Phone fell and screen cracked,1.04E+11,Sprint,19-APR-17 02.41.50.178000000 AM,
LOST/UNREC,I got lost on the way home,1.08E+11,Sprint,07-JUN-17 04.14.21.871000000 AM,
STOLEN,Someone broke in to my vehicle and stole my phone while I was at work.,1E7459A0D91F09809F090928BF24D5BE,1.06E+11,Sprint,
STOLEN,Was at school and someone took it out my bag.,111828730,Sprint,16-MAY-17 11.54.42.457000000 PM,
LOST/UNREC,My iphone is lost in the school,1.06E+11,Sprint,06-JUN-17 08.15.02.037000000 PM,
LQDDMG,my phone fell into the water,1E768C3C463B0670901D0DAB57044F6C,1.01E+11,Sprint,
MLFUNC,The touch screen on the phone doesn't always work.,1.07E+11,Sprint,12-JUN-17 08.50.14.574000000 PM,
LOST/UNREC,i was having lunch at disco when i left the phone in the bar and when i came back the phone it was not there,1.01E+11,Sprint,07-JUN-17 11.25.40.322000000 PM,
CRCKSCRN,The phone fell out of Tyler's pocket and landed on our cement driveway. The upper right corner of the phone is cracked/damaged. The screen has a crack from the top right corner to the middle of the screen.,1.02E+11,Sprint,07-MAY-17 02.22.50.466000000 PM,
CRCKSCRN,"As I was walking across the parking lot, the phone slipped from my hand and landed on the top portion of the phone, cracking the screen both internally and externally",1.01E+11,Sprint,14-APR-17 10.10.43.849000000 PM,
CRCKSCRN,"Cracked screen, touch screen doesnt respond sometimes",112748309,Sprint,06-JUN-17 03.52.05.446000000 PM,
CRCKSCRN,Fell on concrete,110718672,Sprint,09-JUN-17 01.32.51.707000000 AM,
STOLEN,It was stolen out of my house,4EA6002782BF6772E053A239030ABE08,113000000,Sprint,
STOLEN,My purse was stole from my car,1.01E+11,Sprint,17-MAY-17 10.04.13.933000000 PM,
STOLEN,My phone was stolen out of the cellar,1E76A589BF830210810785C758E8D6B0,1.04E+11,Sprint,
LOST/UNREC,fell down sewer,1.07E+11,Sprint,11-JUN-18 05.36.41.121000000 PM,
MLFUNC,my phone isn't working states no service,1E70C4F1B89B09D0BEF0005056870405,111705971,Sprint,
LQDDMG,"The phone was in my pocket when I jumped in the pool, forgetting that it was there. I was in the pool for a few minutes before realizing and removing it from the water.",1.09E+11,Sprint,11-JUN-17 06.42.35.673000000 PM,
MLFUNC,"my phone has been running extremely slow, so i powered my device off and it would not come back on, even after being plugged up to the charge.",1E77CDD635BB02A0AC3EE155FF93531E,1.04E+11,Sprint,
MLFUNC,Phone won't power on,110779661,Sprint,23-JUN-17 12.16.56.081000000 AM,
MLFUNC,Phone dies at 40% and will not stay fully charged. Goes from 100% to 60% within minutes.,1.10E+11,Sprint,14-APR-17 11.46.37.802000000 PM,
CRCKSCRN,fell out of my pocked and landed face first on the ground,1.02E+11,Sprint,14-APR-17 03.54.34.348000000 PM,
MLFUNC,replacement phone will show not charged when in use and plug the device on charger and will be fully charged. now it will power up for a minute and turn off.,1E76B47136AB05E0810785C758E8D6B0,1.09E+11,Sprint,
STOLEN,stolen at ace,1.05E+11,Sprint,07-JUN-17 02.41.30.860000000 PM,
STOLEN,stolen,1E789FC00F260920AE12005056873F27,1.04E+11,Sprint,
LOST/UNREC,i lost it,1.06E+11,Sprint,08-JUN-17 03.01.19.843000000 AM,
MLFUNC,My phone doesnt charge,1.00E+11,Sprint,07-JUN-17 03.05.07.283000000 PM,
LQDDMG,"Daughter forgot the phone was in her pocket while on vacation and went into a jacuzzi. After allowing the phone to dry and sealing in a bag of rice, phone does not power on.",1E7ADF5DD9450C90A65E8764A70A9DF7,1.08E+11,Sprint,
STOLEN,i was at the park and someone took it from my bag,1E7934DAB5150B108457A5E2668CB032,1.03E+11,Sprint,
STOLEN,It was taken from my pocketbook at a gathering,1E70C4F84AF703518683005056874965,111000000,Sprint,
LQDDMG,"during the hurricane clean up at my home, my phone was damaged with water beleive",1E7A8B3DD9560FA0953F613EFB8DD3EC,1.08E+11,Sprint,
CRCKSCRN,I dropped it .,1.07E+11,Sprint,17-APR-17 05.56.47.392000000 PM,
MLFUNC,Cant hear well.,1.03E+11,Sprint,08-JUN-17 05.04.21.372000000 PM,
MLFUNC,My cell phone does not work well.,1.07E+11,Sprint,17-MAY-17 09.45.41.519000000 PM,
LOST/UNREC,i lost my phone when on the parking lot of the airport,110999589,Sprint,17-MAY-17 06.12.46.531000000 PM,
CRCKSCRN,Got in a car crash. Messed the whole phone up when I was rear ended at a stop light.,1.09E+11,Sprint,15-APR-17 06.05.18.376000000 AM,
LQDDMG,Was dropped in a puddle and cracked.,1E70C4F8E7120960985A005056870405,112000000,Sprint,
LOST/UNREC,Lost in the park,1.09E+11,Sprint,07-JUN-17 04.45.51.029000000 PM,
CRCKSCRN,Phone slipped out of my hand and hit the ground.,1.05E+11,Sprint,18-MAY-17 01.48.44.299000000 AM,
CRCKSCRN,Draped my phone and the screen cracked,1.03E+11,Sprint,16-JUN-17 12.30.22.079000000 PM,
LQDDMG,cracked screen and liquid damaged,1E7A18D831710C40ACE34167B7FA16CD,1.06E+11,Sprint,
MLFUNC,Have about a 30% charge and all of a sudden it just won't turn on,1E777315871609E09022EBD90A7CE8F5,1.04E+11,Sprint,
LQDDMG,"Dropped and cracked the screen, later was water damaged because of the cracked screen",4D15892DE0011EB6E053A239030A9985,113000000,Sprint,
MLFUNC,my camera does not open or turn on. Restarting it does not work.,1.00E+11,Sprint,06-JUN-17 09.09.24.139000000 PM,
CRCKSCRN,I accidentally dropped the phone.,1.01E+11,Sprint,07-JUN-17 04.23.58.411000000 AM,
STOLEN,my phone stolen ladt night in the bus,1E78D1D2ACC00070B6490FDA409B0CBF,1.10E+11,Sprint,
LQDDMG,Dropped my phone in the sink while talking on it. I turned it off immediately and put it in dry rice overnight. It will not turn on.,502B49D790C12DB7E053A439030AFC78,113000000,Sprint,
LOST/UNREC,When out last night & end up losing my phone,111864735,Sprint,12-JUN-17 05.25.35.000000000 PM,
MLFUNC,SIM card malfunction and touch screen will not work to type in pass code or any other functions.,1E77D55827A80850924D03A2F89DC9E9,1.07E+11,Sprint,
LOST/UNREC,i lost,1.06E+11,Sprint,17-MAY-17 03.53.25.898000000 PM,
LOST/UNREC,Lost my cell phone,1.08E+11,Sprint,12-JUN-17 03.18.42.281000000 PM,
LQDDMG,It fell in the sink,4C52A9B700101E5AE053A239030AF748,113000000,Sprint,
MLFUNC,Phone damaged beyond repair. Plugged phone in to charge and it completely died. Will not turn on. Technician says it is damaged beyond repair.,1E776E37335D011093069355A289BC4E,1.07E+11,Sprint,
LOST/UNREC,Phone was lost while on vacation in Mexico.,1.05E+11,Sprint,06-JUN-17 02.29.35.982000000 AM,
MLFUNC,won't charge won't ring,113323172,Sprint,21-MAY-17 09.01.47.000000000 PM,
CRCKSCRN,It fell flat at work,1.06E+11,Sprint,16-APR-17 12.56.47.022000000 AM,
MLFUNC,"noticed it was very hot, then it went dead",1E77C85EAA750960924D03A2F89DC9E9,1.05E+11,Sprint,
CRCKSCRN,screen broken and damage,1.06E+11,Sprint,16-APR-17 04.59.47.511000000 AM,
CRCKSCRN,"I was at work and the phone was in my work shirt pocket. When I went to get out of the truck, it fell out of my pocket and hit the ground.",1.02E+11,Sprint,06-MAY-17 12.37.31.455000000 AM,
CRCKSCRN,screen cracked,1.02E+11,Sprint,15-APR-17 05.44.34.356000000 PM,
STOLEN,Two men on the street stole my phone while I was running in the park,1.06E+11,Sprint,22-JUN-17 10.10.49.858000000 PM,
CRCKSCRN,Dropped phone on driveway only 1 1/2' drop. screen is now turning purple. There are no cracks or scratches,1.01E+11,Sprint,16-MAY-17 12.54.29.777000000 AM,
LOST/UNREC,I lost on mall,1.10E+11,Sprint,09-JUN-17 08.05.26.392000000 PM,
CRCKSCRN,Working on my car wrench fell on screen,1.00E+11,Sprint,18-APR-17 10.18.54.227000000 PM,
STOLEN,it was stolen out of hand while i was riding in a taxi cab in jamaica.,113284627,Sprint,14-MAY-17 01.01.32.000000000 PM,
LQDDMG,my phone liquid damage,1E7999701A3C01708E0E9BBB59E59C3A,1.03E+11,Sprint,
LOST/UNREC,lost in the mall,1.02E+11,Sprint,15-MAY-17 11.24.50.683000000 PM,
LQDDMG,I was getting out of the car and it accidentally fell on the ground,1.05E+11,Sprint,24-APR-17 06.13.10.555000000 PM,
MLFUNC,"My device started randomly shutting off, then it didnt want charge and when i got it to finally turn on it kept popping up play store malfunctioned do you want to send error report or don't send,But anyone i picked it wouldn't stop popping up or do anything else then off and won't charge or stop doing the same thing.",1E77BAB4CAF909509EB865F6B4202010,1.06E+11,Sprint,
STOLEN,Stolen out of car,1.05E+11,Sprint,22-JUN-17 09.54.07.827000000 PM,
STOLEN,My phone was stolen from me. I can not get it back.,4F0D3D4B2C7F4E09E053A239030AE092,113000000,Sprint,
CRCKSCRN,The phone fell out of my pocket and screen cracked on the concrete.,1.02E+11,Sprint,07-MAY-17 02.00.54.784000000 PM,
CRCKSCRN,My phone fell face down in an area of the yard with rocks and the screen is shattered with pieces of glass now missing from the screen.,1.03E+11,Sprint,17-APR-17 01.32.00.788000000 PM,
MLFUNC,"Phone glitches, freezes, battery drains quick, and over heats",1.03E+11,Sprint,05-MAY-17 07.13.41.927000000 PM,
STOLEN,stolen from my car,1E7874E6B8310100BA8F5D6040F95A12,1.02E+11,Sprint,
LOST/UNREC,"yes i lost my phone some where in my job i know where is at i yes can,t get it it to fard",1.07E+11,Sprint,07-JUN-17 03.14.30.641000000 AM,
MLFUNC,"I originally brought my phone into the Sprint Service Center in San Luis Obispo. I had brought it in multiple time for various issues. The last problem was the phone taking long to recharge and the speaker not working or ""crackling."" The service tech's were willing to replace the phone for free seeing as how it is a manufactures malfunction but I did not want to at that time. They are no longer a Repair Center so said I have to take this route. The phone has since gotten worse.",1E778B16DF8B05D08AF191945196A36F,1.01E+11,Sprint,
STOLEN,WALKED IN THE STORE AND CAME BACK AND PHONE WAS STOLEN FROM MY BIKE,1E7785BABF9502508AF191945196A36F,1.04E+11,Sprint,
LOST/UNREC,I lost my cellphone,1.07E+11,Sprint,08-JUN-17 09.05.20.614000000 PM,
LOST/UNREC,Lost it yesterday at mall,1.09E+11,Sprint,12-JUN-17 05.20.38.361000000 PM,
CRCKSCRN,The screen is shattered,1.05E+11,Sprint,06-MAY-17 03.05.34.888000000 PM,
LQDDMG,The device fell into the water. Device will not turn on at all. A replacement device is needed,1.07E+11,Sprint,06-MAY-17 03.07.06.886000000 PM,
CRCKSCRN,"My daughter's teacher took her phone away from her and when handing it back to her at the end of the day, the phone fell from her hand, onto the floor.",1.07E+11,Sprint,07-JUN-17 11.53.38.021000000 PM,
MLFUNC,Touch screen is not working.,1.03E+11,Sprint,14-APR-17 09.58.01.480000000 PM,
CRCKSCRN,Phone was dropped and screen is shattered,1.02E+11,Sprint,04-MAY-17 08.52.35.064000000 PM,
MLFUNC,Phone display fades to black. Sometimes if we push the home screen it appears but immediately fades to black.,1E77C3EA4CF807108AF191945196A36F,1.07E+11,Sprint,
CRCKSCRN,The screen is cracked from dropping it.,110808488,Sprint,17-MAY-17 10.35.11.242000000 PM,
CRCKSCRN,Fell,1.07E+11,Sprint,17-MAY-17 04.42.20.226000000 PM,
STOLEN,I'm stolen on the way to the super,1.03E+11,Sprint,05-MAY-17 05.25.26.272000000 PM,
CRCKSCRN,Phone was dropped,1.10E+11,Sprint,18-APR-17 05.54.32.904000000 PM,
LQDDMG,My cell phone got wet,1.03E+11,Sprint,22-APR-17 04.31.20.921000000 AM,
LQDDMG,Fell in water still works turns on screens just black,4D15892CDB631EB6E053A239030A9985,113000000,Sprint,
LQDDMG,My screen was cracked and exposed to water,4EA6002915DA6772E053A239030ABE08,113000000,Sprint,
LQDDMG,was dropped in the toilet,112887730,Sprint,16-MAY-17 08.24.22.808000000 PM,
STOLEN,It got stolen inside my purse.,1E776FC59E0008209022EBD90A7CE8F5,1.06E+11,Sprint,
LQDDMG,Slipped in the rain while on the phone. Phone fell into puddle.,1E77BB6A40ED07F0B1540050568763AB,1.10E+11,Sprint,
MLFUNC,Phone started acting up yesterday and now today it won't power on,110859697,Sprint,09-JUN-17 02.41.37.726000000 AM,
CRCKSCRN,"Dropped, cracked screen",1.09E+11,Sprint,09-JUN-17 03.14.37.765000000 PM,
CRCKSCRN,I dropped my phone and cracked the screen pretty bad.,1.02E+11,Sprint,06-JUN-17 04.30.59.234000000 PM,
CRCKSCRN,3 year old brother dropped it accidentally,1.03E+11,Sprint,07-JUN-17 03.22.55.148000000 PM,
LQDDMG,A sprint service tech opened device for display/back hsg repair and found logic board corroded where display ribbon cable plugs into main board.,1.02E+11,Sprint,23-APR-17 09.34.52.176000000 AM,
LQDDMG,HAD IT IN MY JACKET AND BY ACCIDENT DROP IT IN THE HOT TUB,1E77FB0396650970855E005056873580,1.10E+11,Sprint,
MLFUNC,"A portion of the screen, near the bottom, is slowly ""burning out."" As is this portion of the screen is dead, and does not show any color. The area is growing larger as the screen is slowly ""dying"" more and more.",112912060,Sprint,18-APR-17 05.51.44.982000000 PM,
CRCKSCRN,"Phone screen is all cracked, phone will not power on or charge.",1.06E+11,Sprint,08-JUN-17 02.11.50.500000000 PM,
MLFUNC,Phone will not charge and is only charging to 1%,1.02E+11,Sprint,18-APR-17 08.21.17.239000000 PM,
LOST/UNREC,Was on a pier at the beach and got bumped from behind. The phone fell into the ocean.,1.04E+11,Sprint,13-JUN-18 12.32.24.799000000 AM,
CRCKSCRN,CHILD DROPPED IT,1.05E+11,Sprint,03-APR-17 05.58.58.871000000 PM,
LQDDMG,Dropped phone in a puddle.,1E7B8ED28A8C0AC09ECA3FB8FCCA82D7,1.04E+11,Sprint,
LOST/UNREC,lost,1.05E+11,Sprint,09-JUN-17 12.14.07.452000000 AM,
CRCKSCRN,Dropped phone.,1.09E+11,Sprint,19-APR-17 05.58.01.731000000 PM,
CRCKSCRN,cracked screen fell on concrete,1.00E+11,Sprint,05-MAY-17 01.18.35.468000000 AM,
CRCKSCRN,"Phone fell off table, screen cracked and immediately screen became blurry with white lines going in and out from a clear screen to white lines.",1.04E+11,Sprint,17-APR-17 04.13.41.522000000 PM,
MLFUNC,Will not charge,1E777C08F7670220BEC57BAB2BE3F87F,1.08E+11,Sprint,
LQDDMG,A SODA SPILLED ON IT,112694583,Sprint,11-JUN-17 08.34.44.832000000 PM,
STOLEN,Phone was stole find my iPhone locates the device as offline,111869222,Sprint,06-JUN-17 04.41.43.124000000 AM,
LQDDMG,Fell in very wet gutter,1E710CE2265E0520B22A005056870405,113000000,Sprint,
LOST/UNREC,I lost it on the way home,1.02E+11,Sprint,15-MAY-17 11.48.25.176000000 PM,
LOST/UNREC,I lost my phone at at buss help please,1.01E+11,Sprint,06-JUN-17 06.59.14.705000000 AM,
MLFUNC,My phone suddenly stopped charging. There was no sudden drops or unusual malfunctions prior to this change. I have changed multiple chargers and none works. I have noticed that it will intermittently charge when powered off.,1.03E+11,Sprint,16-APR-17 05.32.02.159000000 PM,
STOLEN,my phone is stolen in the hospital,1E78431AA69408A0950AF379C845DA96,1.06E+11,Sprint,
LQDDMG,damage liquid water,1E78CC9837610AC0B6490FDA409B0CBF,1.09E+11,Sprint,
LQDDMG,Phone fell in a slurpee cup,1E75EACF755F014087240050568763AB,1.09E+11,Sprint,
MLFUNC,The was working fine ..the screen went got blurry just messed up went sprint store work order was Placed,1.03E+11,Sprint,06-JUN-17 02.02.40.389000000 AM,
LQDDMG,I drown in the pool,112848184,Sprint,28-JUN-17 02.51.54.458000000 PM,
MLFUNC,I turned my alarm off at 5 am and then the phone cut off and never came back on,1E77567D84DA0D209022EBD90A7CE8F5,1.07E+11,Sprint,
MLFUNC,"Screen displays, ""No SIM"" and there is no cell phone service",1E7792A3CFE100009EB865F6B4202010,1.01E+11,Sprint,
LOST/UNREC,"i lost my phone, help",1.09E+11,Sprint,06-JUN-17 03.26.53.556000000 PM,
MLFUNC,"PHONE ON THEN NOTHING HAPPENS, NOT ABLE TO ACCESS PHONE",1E776C27069904B09022EBD90A7CE8F5,1.05E+11,Sprint,
STOLEN,My phone was stolen out of the cellar,1E7816E06ADD025083AAE7E94412AE67,1.04E+11,Sprint,
LOST/UNREC,LOST,1.07E+11,Sprint,23-JUN-17 10.06.59.735000000 PM,
CRCKSCRN,My screen was busted but still worked properly then it just stopped and started too go black then would go normal then back to black an now it won't power on at all,1.08E+11,Sprint,08-JUN-17 03.29.28.434000000 AM,
MLFUNC,"Screen turned black with, with a blue light on. Charged phone to see if it would work, but nothing helped",1E77D76C5F4D07E0924D03A2F89DC9E9,1.01E+11,Sprint,
LQDDMG,Phone fell in a sink full of water.,1E76B20F199701209AC0A95E13116F40,1.05E+11,Sprint,
MLFUNC,phone has small crack but will not find network so nothing with the data works took it to the store and they could not get it to work,1.08E+11,Sprint,18-APR-17 07.01.11.404000000 PM,
CRCKSCRN,Dropped the phone and the screen cracked,1.05E+11,Sprint,16-MAY-17 06.08.11.606000000 PM,
STOLEN,"I was at a store in a mall. Trying on shoes, put my phone down for a quick second on the bench. When I was done my phone was gone.",1E785B7D1BA00CF09FFC11CF12CBB4CC,1.03E+11,Sprint,
LOST/UNREC,Lost my phone,1.03E+11,Sprint,10-JUN-17 10.03.42.269000000 PM,
MLFUNC,"Sound: People keep telling me they are getting every other word even using WiFi calling. This occurs even if I am not moving. At times, people sound like they are in a tunnel. Speakers: see above Touch Screen: I have to keep pressing my screen icons and the back button several times from different angles to get it to work. Been to a sprint repair but they want me to pay about $100 for a new battery, and $100 deductible to send it off for 7-10 days without a phone.",1E777174C5A7080093069355A289BC4E,1.05E+11,Sprint,
LQDDMG,my cell phone broke my screen badly while I was in the office,1E791B7456A00C308FE6CFADD104B6D2,1.07E+11,Sprint,
LOST/UNREC,Device lost at work,111061004,Sprint,09-JUN-17 02.25.59.692000000 PM,
LOST/UNREC,Fell off boat,1.02E+11,Sprint,22-JUN-18 04.47.59.882000000 PM,
STOLEN,I got stolen from the house,1E78115FF50C0830B8E2C5498E360678,1.01E+11,Sprint,
CRCKSCRN,Dropped phone,1.10E+11,Sprint,11-JUN-17 09.35.51.795000000 PM,
CRCKSCRN,Fell off my lap,1.01E+11,Sprint,18-MAY-17 04.43.29.879000000 PM,
STOLEN,I let a girl use my phone to call a ride then ran with it. And she had a ride close so i could not catch up.,1E76FAA9DCED01F0964E00505687553E,1.07E+11,Sprint,
LQDDMG,i dropped my phone in water and the device no longer works,1.06E+11,Sprint,18-APR-17 11.14.07.057000000 PM,
CRCKSCRN,the phone hit the ground just right to crack the screen,1.08E+11,Sprint,18-MAY-17 04.37.53.531000000 PM,
STOLEN,a big guy take out my phone from my car while i was driving home,1E76150C1B6F038091A0C5E333EA7FD2,1.06E+11,Sprint,
MLFUNC,"New battery, dont stay on. Over heating.",1E77AFEF66220B009EB865F6B4202010,1.00E+11,Sprint,
MLFUNC,Phone is not charging and gets really hot when charging. I am not sure whether it was really the fault of the phone or my fault.,1.00E+11,Sprint,16-MAY-17 12.35.31.877000000 AM,
LQDDMG,Phone was accidentally put in wash and removed but no longer functioning.,1E7B14048C780CB0AC0403A5BA6685D0,1.09E+11,Sprint,
MLFUNC,Unresponsive screen.,1E777FA49AF6041091DF0DD2CB023898,1.05E+11,Sprint,
STOLEN,My car was broken into and my phone and wallet got stolen,1E768283C3D40B80A2C297D19D062610,1.08E+11,Sprint,
MLFUNC,"Dropped, no cracked screen but touch screen no longer responds.",1E77C9EAF4B105A0924D03A2F89DC9E9,1.02E+11,Sprint,
LQDDMG,phone fell in water,4F97BC83ADC61620E053A439030A4AA2,113000000,Sprint,
LQDDMG,the screen has been cracked for a while now but it hasnt been an issue at all it has been working just fine. i dont know if maybe over time water or oils or dirt might have seeped into the phone cracks but now its just not turning on at all or charging.,1E72940917AF0650B16739A82741B5CD,1.07E+11,Sprint,
LOST/UNREC,lost in the park...,1.01E+11,Sprint,22-JUN-17 09.33.13.530000000 PM,
LOST/UNREC,I LOST MY DEVICE IN THE GYM MORNING IS TODAY.,1.05E+11,Sprint,16-JUN-17 09.57.52.793000000 PM,
MLFUNC,the screen is blank.,1E77A1CCFF0B00A08AF191945196A36F,1.04E+11,Sprint,
CRCKSCRN,"PHONE DROPPED AND CRACKED, LCD NOT WORKING",1.02E+11,Sprint,18-MAY-17 03.31.46.284000000 PM,
STOLEN,I Stolen at the mall.,1.09E+11,Sprint,14-APR-17 06.55.45.118000000 AM,
LQDDMG,A restaurant server dropped a glass of frozen lemonade on my phone. The glass smashed the top right corner of my phone and liquid from the beverage seeped into the cracks in the screen and into the charging port. The phone has been moving slowly and the screen blacks out.,1E797201115A0BB0A274E96D37891FA6,1.08E+11,Sprint,
LOST/UNREC,lost it,1.05E+11,Sprint,23-JUN-17 10.33.02.978000000 PM,
MLFUNC,The screen started turning off colors like something was leaking underneath and now it is completely black,112215059,Sprint,19-APR-17 06.51.24.153000000 PM,
LQDDMG,Rain damagev,1E7ABDFEBB6707308E36411016DF8DEF,1.09E+11,Sprint,
CRCKSCRN,It fell,1.10E+11,Sprint,18-MAY-17 01.25.43.315000000 AM,
MLFUNC,phone started acting up. and getting a blank screen. having trouble staying on. The phone just lags.,1.01E+11,Sprint,04-MAY-17 01.33.27.437000000 AM,
CRCKSCRN,Phone was dropped and screen cracked,1.01E+11,Sprint,04-MAY-17 08.08.46.927000000 PM,
STOLEN,Phone was taken from a McDonald's when we stopped to get food while we where traveling to the beach.,1E7611B61F4B0D9091A0C5E333EA7FD2,1.07E+11,Sprint,
LQDDMG,"I was doing the pee pee dance at work, forgot the phone was in my back pocket..phone fell in the toilet..I got it out immediately...before I used it...",112458589,Sprint,16-MAY-17 12.00.02.924000000 AM,
LQDDMG,Fell out of my pocket and landed on the concrete.,1E76C82A875F03209AC0A95E13116F40,1.07E+11,Sprint,
LQDDMG,I took my phone into the bathroom while showering I guess my 1 year old took it and attempt to flush it down the toilet,4F97BC853F891620E053A439030A4AA2,113000000,Sprint,
STOLEN,I was in an accident and the other party stole my phone as I was taking pictures.,1.09E+11,Sprint,17-MAY-17 02.00.07.898000000 PM,
LOST/UNREC,I was cleaning my vehicle and putting things in the trash and once I made it home I realized I could not find my phone.,1.07E+11,Sprint,10-JUN-17 12.47.05.573000000 AM,
LOST/UNREC,Lost,1.07E+11,Sprint,06-JUN-17 06.21.34.036000000 PM,
CRCKSCRN,"Set the phone on top of the car and drove off, the phone fell off of the car.",111676236,Sprint,07-JUN-17 02.49.50.672000000 AM,
LQDDMG,Screen cracked and moisture got in.,1.02E+11,Sprint,16-MAY-17 04.34.15.215000000 PM,
LQDDMG,I dropped the device.,1.10E+11,Sprint,26-APR-17 05.27.56.807000000 AM,
MLFUNC,Any set of headphones connected to the headphone jack will not output sound except to one side.,1.06E+11,Sprint,18-MAY-17 10.46.04.481000000 PM,
MLFUNC,Will not keep a charge. Can't hear out the speaker,1E77C91D527D08B0AC3EE155FF93531E,1.06E+11,Sprint,
STOLEN,My phone was stolen from my locker,1E7817088BB50C70B8E2C5498E360678,1.04E+11,Sprint,
CRCKSCRN,"Phone was dropped then puppy used as chew toy, screen is shattered and blacked out blocking use of phone calls and camera use.",1.04E+11,Sprint,17-APR-17 05.07.01.588000000 PM,
CRCKSCRN,slipped out my hands and fell on the floor,1.09E+11,Sprint,17-MAY-17 09.46.43.006000000 PM,
CRCKSCRN,Dropped on floor on crack the screen,1.03E+11,Sprint,16-MAY-17 09.51.22.418000000 PM,
CRCKSCRN,"phone is bent, screen cracked and missing pieces.",1.10E+11,Sprint,06-JUN-17 05.54.24.988000000 PM,
MLFUNC,Screen just went black,1E77AE2302B60F808AF191945196A36F,1.08E+11,Sprint,
CRCKSCRN,Simply dropped my phone and screen cracked. The screen has little pieces of glass coming off.,1.04E+11,Sprint,10-JUN-17 02.50.36.852000000 AM,
LQDDMG,liquid,1E798AFA900008E0864E1920E4BB80E3,1.02E+11,Sprint,
LQDDMG,"Dropped phone outside in puddle, small piece of phone came out by camera and camera is foggy because of the incident.",4F0D3D4B91934E09E053A239030AE092,112000000,Sprint,
STOLEN,It was stolen out of my while at work,4E088F2E2ACB22B2E053A239030A14BB,113000000,Sprint,
STOLEN,Someone broke into my car and stole my phone.,1.10E+11,Sprint,23-JUN-17 11.59.09.390000000 PM,
LQDDMG,Phone fell out of pocket into toilet screen cracked and phone still work but is now malfunctioning freezing etc,1E78628DF6F50A00BA8F5D6040F95A12,1.03E+11,Sprint,
MLFUNC,My Device Keeps Shutting Off By Itself,1.04E+11,Sprint,23-MAY-17 11.18.58.110000000 PM,
MLFUNC,Device worked fine yesterday until about mid day. Then it simply stopped working. The blue light blinks but the phone will not turn on and the touch screen will not respond at all.,1E77EB4557F00410A81B0F8C418D0E55,1.02E+11,Sprint,
STOLEN,ASSAULT,1E799B0C037D0DB0A788FD253FAB45B3,1.08E+11,Sprint,
MLFUNC,Phone won't turn on. Looks like it's going to but then powers back off. Phone worked fine Wednesday night but not Thursday.,1E77932167D00FF09EB865F6B4202010,1.09E+11,Sprint,
CRCKSCRN,it fell,111914756,Sprint,17-MAY-17 07.18.21.401000000 PM,
CRCKSCRN,my phone dropped while getting out of the airport & the face is cracked but it still works,113265754,Sprint,10-MAY-17 05.36.06.000000000 AM,
LQDDMG,It was dropped in water,1E755EA2E8290EF0B53FAB11709CA4EE,1.09E+11,Sprint,
STOLEN,equipment stolen,1E795ADC3D8B06D0BA8B458EB95B0A51,1.07E+11,Sprint,
MLFUNC,My phone has not worked since I charged it in my vehicle,1E778DC3002A0F308AF191945196A36F,1.09E+11,Sprint,
LQDDMG,Dropped phone getting out of truck. Landed in water and stepped on by person getting out of car next to me.,4D15892D30BF1EB6E053A239030A9985,113000000,Sprint,
LOST/UNREC,Lost my phone at Six Flags.,1.06E+11,Sprint,18-MAY-17 03.02.38.676000000 AM,
MLFUNC,Turned the phone on after charging it last night and it has been acting up all day. No new apps have been installed. It has been not able to take a good charge for a week the screen is now unresponsive to the point it feels as if it is freezing. It has not been dropped An it has been checked out by a sprint tech two weeks ago for the charging port issue and they said it was fine.,1.05E+11,Sprint,19-APR-17 10.13.07.748000000 PM,
LQDDMG,Believe it or not dog carried it to the ocean edge from our blanket and dropped it in the water.,1E7A5F1D32C00BB0953F613EFB8DD3EC,1.00E+11,Sprint,
STOLEN,I walked away from a table I was sitting at and came back to it a few minutes later. It was gone. I asked around and no one saw who took it. Tried to track it but it was already turned off.,1E70C4F7C84F0F11890C005056870405,112000000,Sprint,
MLFUNC,"Device won't charge battery dies to fast . Touch screen issues , writes on its own, opens Apps on its own as well",1E70C4F32B400DE09A08005056870405,111391326,Sprint,
MLFUNC,I just received the device from asurion 6 days ago and on the first day it stopped working,1E775587BCF80960964E00505687553E,1.10E+11,Sprint,
CRCKSCRN,Dropped cracked,1.07E+11,Sprint,17-MAY-17 10.24.44.877000000 PM,
LOST/UNREC,lost it,1.08E+11,Sprint,17-APR-17 01.56.52.181000000 PM,
LQDDMG,Water spilled on phone,1E7B05B2D5AD07109051F1336646FCA5,1.04E+11,Sprint,
MLFUNC,"I was prompted for an update on my phone. Upon restart the screen would start on the HTC power up, vibrate,go black and start over again. The store told me it could not be fixed.",1E77A62152B403708AF191945196A36F,1.03E+11,Sprint,
STOLEN,Was stolen,1.03E+11,Sprint,23-JUN-17 11.53.34.292000000 PM,
CRCKSCRN,Dropped phone off counter,1.05E+11,Sprint,17-JUN-17 12.49.45.497000000 AM,
